Date/Time,Location,Sunlight,Magnetic field strength,Temperature,Humidity
2022-04-16 03:23:52.357143,IERS2010 latitude -46.9403 N longitude -28.7104 E elevation 432668.2 m,In darkness,"x: 27.358530044555664, y: 0.24740278720855713, z: -10.3445463180542",34.9558°C,29.6188%
2022-04-16 03:24:07.450110,IERS2010 latitude -46.5216 N longitude -27.4961 E elevation 432447.0 m,In darkness,"x: 27.15001678466797, y: 0.37099650502204895, z: -10.211222648620605",34.9736°C,30.2155%
2022-04-16 03:24:22.541733,IERS2010 latitude -46.0890 N longitude -26.3016 E elevation 432219.7 m,In darkness,"x: 27.152313232421875, y: 0.3446018695831299, z: -10.093914031982422",34.9025°C,28.1166%
2022-04-16 03:24:37.683758,IERS2010 latitude -45.6411 N longitude -25.1230 E elevation 431985.5 m,In darkness,"x: 27.034582138061523, y: 0.39433515071868896, z: -9.930815696716309",34.8669°C,29.4414%
2022-04-16 03:24:52.756619,IERS2010 latitude -45.1821 N longitude -23.9694 E elevation 431746.7 m,In darkness,"x: 27.01005744934082, y: 0.4230077266693115, z: -9.716811180114746",34.9736°C,29.0528%
2022-04-16 03:25:07.849838,IERS2010 latitude -44.7097 N longitude -22.8339 E elevation 431501.8 m,In darkness,"x: 26.89402961730957, y: 0.45176392793655396, z: -9.415590286254883",34.9736°C,29.5546%
2022-04-16 03:25:22.939000,IERS2010 latitude -44.2249 N longitude -21.7182 E elevation 431251.6 m,In darkness,"x: 26.704364776611328, y: 0.5029443502426147, z: -9.265856742858887",35.0269°C,29.2945%
2022-04-16 03:25:38.024995,IERS2010 latitude -43.7283 N longitude -20.6221 E elevation 430996.2 m,In darkness,"x: 26.6239013671875, y: 0.6704639196395874, z: -9.267786026000977",34.938°C,28.7836%
2022-04-16 03:25:53.165604,IERS2010 latitude -43.2182 N longitude -19.5413 E elevation 430734.9 m,In darkness,"x: 26.56780433654785, y: 0.700727105140686, z: -9.24454402923584",35.0981°C,28.808%
2022-04-16 03:26:08.247462,IERS2010 latitude -42.6988 N longitude -18.4836 E elevation 430469.8 m,In darkness,"x: 26.635440826416016, y: 0.7047376036643982, z: -9.004745483398438",34.9558°C,28.7989%
2022-04-16 03:26:23.339898,IERS2010 latitude -42.1683 N longitude -17.4437 E elevation 430199.9 m,In darkness,"x: 26.601003646850586, y: 0.6288614869117737, z: -8.792905807495117",34.9025°C,28.9916%
2022-04-16 03:26:38.434974,IERS2010 latitude -41.6271 N longitude -16.4221 E elevation 429925.5 m,In darkness,"x: 26.50086784362793, y: 0.6860054135322571, z: -8.83444595336914",34.9558°C,29.3159%
2022-04-16 03:26:53.544958,IERS2010 latitude -41.0753 N longitude -15.4176 E elevation 429646.8 m,In darkness,"x: 26.384113311767578, y: 0.6959335803985596, z: -8.562843322753906",34.9025°C,28.6459%
2022-04-16 03:27:08.686642,IERS2010 latitude -40.5124 N longitude -14.4288 E elevation 429363.6 m,In darkness,"x: 26.33314323425293, y: 0.5399844646453857, z: -8.752082824707031",35.0092°C,29.2333%
2022-04-16 03:27:23.772165,IERS2010 latitude -39.9423 N longitude -13.4611 E elevation 429077.7 m,In darkness,"x: 26.262929916381836, y: 0.5068026781082153, z: -8.76895523071289",34.938°C,28.8142%
2022-04-16 03:27:38.876589,IERS2010 latitude -39.3623 N longitude -12.5093 E elevation 428788.0 m,In darkness,"x: 26.24583625793457, y: 0.4164193570613861, z: -8.648661613464355",34.9558°C,29.3894%
2022-04-16 03:27:53.974778,IERS2010 latitude -38.7738 N longitude -11.5745 E elevation 428495.2 m,In darkness,"x: 26.124473571777344, y: 0.37163129448890686, z: -8.446267127990723",34.938°C,28.8356%
2022-04-16 03:28:09.066607,IERS2010 latitude -38.1770 N longitude -10.6564 E elevation 428199.6 m,In darkness,"x: 26.08671760559082, y: 0.32621049880981445, z: -8.628049850463867",34.9203°C,28.086%
2022-04-16 03:28:24.195465,IERS2010 latitude -37.5707 N longitude -9.7520 E elevation 427900.5 m,In darkness,"x: 25.862567901611328, y: 0.3371378779411316, z: -8.393682479858398",34.8491°C,29.371%
2022-04-16 03:28:39.294747,IERS2010 latitude -36.9576 N longitude -8.8649 E elevation 427599.6 m,In darkness,"x: 25.921051025390625, y: 0.42947250604629517, z: -8.07479190826416",35.0625°C,29.1109%
2022-04-16 03:28:54.394608,IERS2010 latitude -36.3370 N longitude -7.9929 E elevation 427296.4 m,In darkness,"x: 25.82773780822754, y: 0.3694324791431427, z: -8.109101295471191",34.9914°C,28.1196%
2022-04-16 03:29:09.496205,IERS2010 latitude -35.7090 N longitude -7.1355 E elevation 426991.2 m,In darkness,"x: 25.904682159423828, y: 0.43365541100502014, z: -8.061240196228027",34.938°C,29.1293%
2022-04-16 03:29:24.591604,IERS2010 latitude -35.0742 N longitude -6.2928 E elevation 426684.4 m,In darkness,"x: 25.92978286743164, y: 0.26628971099853516, z: -8.054702758789062",34.9558°C,29.0926%
2022-04-16 03:29:39.734650,IERS2010 latitude -34.4307 N longitude -5.4614 E elevation 426375.2 m,In darkness,"x: 25.732343673706055, y: 0.2700011134147644, z: -8.062515258789062",34.9736°C,28.0003%
2022-04-16 03:29:54.828645,IERS2010 latitude -33.7827 N longitude -4.6463 E elevation 426065.7 m,In darkness,"x: 25.608182907104492, y: 0.4015815556049347, z: -8.1498384475708",35.0092°C,29.3557%
2022-04-16 03:30:09.920035,IERS2010 latitude -33.1286 N longitude -3.8444 E elevation 425755.4 m,In darkness,"x: 25.503969192504883, y: 0.30077803134918213, z: -8.134921073913574",34.9914°C,29.7749%
2022-04-16 03:30:25.009074,IERS2010 latitude -32.4686 N longitude -3.0553 E elevation 425444.4 m,In darkness,"x: 25.53305435180664, y: 0.21691666543483734, z: -8.358427047729492",34.938°C,29.0375%
2022-04-16 03:30:40.116490,IERS2010 latitude -31.8020 N longitude -2.2777 E elevation 425132.5 m,In darkness,"x: 26.01796531677246, y: 0.24562937021255493, z: -8.300312042236328",34.9558°C,29.1293%
2022-04-16 03:30:55.260465,IERS2010 latitude -31.1281 N longitude -1.5101 E elevation 424819.8 m,In darkness,"x: 25.126943588256836, y: 0.174684539437294, z: -8.26820182800293",34.8669°C,28.961%
